X,CH1,
Second,Volt,
-6.5999998e-06,1.44000e+00,
-6.4999995e-06,1.52000e+00,
-6.3999996e-06,1.52000e+00,
-6.2999998e-06,1.60000e+00,
-6.1999995e-06,1.60000e+00,
-6.0999996e-06,1.68000e+00,
-5.9999998e-06,1.68000e+00,
-5.8999995e-06,1.60000e+00,
-5.7999996e-06,1.60000e+00,
-5.6999997e-06,1.72000e+00,
-5.5999999e-06,1.68000e+00,
-5.4999996e-06,1.60000e+00,
-5.3999997e-06,1.72000e+00,
-5.2999999e-06,1.64000e+00,
-5.1999996e-06,1.60000e+00,
-5.0999997e-06,1.72000e+00,
-4.9999999e-06,1.72000e+00,
-4.8999996e-06,1.60000e+00,
-4.7999997e-06,1.60000e+00,
-4.6999999e-06,1.72000e+00,
-4.5999996e-06,1.68000e+00,
-4.4999997e-06,1.68000e+00,
-4.3999999e-06,1.68000e+00,
-4.2999995e-06,1.68000e+00,
-4.1999997e-06,1.68000e+00,
-4.0999998e-06,1.48000e+00,
-4.0000000e-06,1.44000e+00,
-3.8999997e-06,1.28000e+00,
-3.7999998e-06,1.28000e+00,
-3.6999998e-06,1.08000e+00,
-3.5999999e-06,1.04000e+00,
-3.4999998e-06,8.80000e-01,
-3.3999997e-06,8.80000e-01,
-3.2999999e-06,7.20000e-01,
-3.1999998e-06,6.40000e-01,
-3.0999997e-06,4.40000e-01,
-2.9999999e-06,4.80000e-01,
-2.8999998e-06,3.20000e-01,
-2.7999999e-06,2.80000e-01,
-2.6999999e-06,1.60000e-01,
-2.5999998e-06,1.60000e-01,
-2.4999999e-06,1.20000e-01,
-2.3999999e-06,1.20000e-01,
-2.2999998e-06,4.00000e-02,
-2.1999999e-06,4.00000e-02,
-2.0999998e-06,8.00000e-02,
-2.0000000e-06,8.00000e-02,
-1.8999999e-06,2.00000e-01,
-1.7999999e-06,1.60000e-01,
-1.6999999e-06,4.00000e-02,
-1.5999999e-06,0.00000e+00,
-1.4999999e-06,-1.20000e-01,
-1.4000000e-06,8.00000e-02,
-1.2999999e-06,0.00000e+00,
-1.1999999e-06,-4.00000e-02,
-1.1000000e-06,8.00000e-02,
-1.0000000e-06,1.20000e-01,
-8.9999997e-07,-4.00000e-02,
-7.9999995e-07,-4.00000e-02,
-6.9999999e-07,1.20000e-01,
-5.9999996e-07,1.20000e-01,
-5.0000000e-07,0.00000e+00,
-3.9999998e-07,8.00000e-02,
-2.9999998e-07,0.00000e+00,
-1.9999999e-07,-4.00000e-02,
-9.9999994e-08,1.60000e-01,
0.0000000e+00,1.20000e-01,
9.9999994e-08,3.20000e-01,
1.9999999e-07,3.20000e-01,
2.9999998e-07,4.80000e-01,
3.9999998e-07,4.80000e-01,
5.0000000e-07,7.20000e-01,
5.9999996e-07,7.20000e-01,
6.9999999e-07,9.20000e-01,
7.9999995e-07,9.20000e-01,
8.9999997e-07,1.08000e+00,
1.0000000e-06,1.12000e+00,
1.1000000e-06,1.28000e+00,
1.1999999e-06,1.28000e+00,
1.2999999e-06,1.44000e+00,
1.4000000e-06,1.44000e+00,
1.4999999e-06,1.52000e+00,
1.5999999e-06,1.52000e+00,
1.6999999e-06,1.60000e+00,
1.7999999e-06,1.60000e+00,
1.8999999e-06,1.68000e+00,
2.0000000e-06,1.68000e+00,
2.0999998e-06,1.60000e+00,
2.1999999e-06,1.60000e+00,
2.2999998e-06,1.76000e+00,
2.3999999e-06,1.68000e+00,
2.4999999e-06,1.60000e+00,
2.5999998e-06,1.68000e+00,
2.6999999e-06,1.72000e+00,
2.7999999e-06,1.60000e+00,
2.8999998e-06,1.68000e+00,
2.9999999e-06,1.72000e+00,
3.0999997e-06,1.64000e+00,
3.1999998e-06,1.60000e+00,
3.2999999e-06,1.68000e+00,
3.3999997e-06,1.72000e+00,
3.4999998e-06,1.64000e+00,
3.5999999e-06,1.68000e+00,
3.6999998e-06,1.64000e+00,
3.7999998e-06,1.68000e+00,
3.8999997e-06,1.52000e+00,
