X,CH1,
Second,Volt,
-2.6399998e-02,2.72000e+00,
-2.6299998e-02,2.80000e+00,
-2.6199998e-02,2.72000e+00,
-2.6099999e-02,2.72000e+00,
-2.5999999e-02,2.72000e+00,
-2.5899999e-02,2.72000e+00,
-2.5799999e-02,2.72000e+00,
-2.5699999e-02,2.72000e+00,
-2.5599999e-02,2.72000e+00,
-2.5500000e-02,2.32000e+00,
-2.5400000e-02,2.32000e+00,
-2.5300000e-02,2.32000e+00,
-2.5199998e-02,2.32000e+00,
-2.5099998e-02,2.32000e+00,
-2.4999999e-02,2.32000e+00,
-2.4899999e-02,2.32000e+00,
-2.4799999e-02,2.32000e+00,
-2.4699999e-02,1.84000e+00,
-2.4599999e-02,1.84000e+00,
-2.4499999e-02,1.84000e+00,
-2.4400000e-02,1.84000e+00,
-2.4300000e-02,1.76000e+00,
-2.4200000e-02,1.84000e+00,
-2.4099998e-02,1.84000e+00,
-2.3999998e-02,1.84000e+00,
-2.3899999e-02,1.36000e+00,
-2.3799999e-02,1.36000e+00,
-2.3699999e-02,1.36000e+00,
-2.3599999e-02,1.36000e+00,
-2.3499999e-02,1.36000e+00,
-2.3399999e-02,1.44000e+00,
-2.3300000e-02,1.36000e+00,
-2.3199998e-02,1.44000e+00,
-2.3099998e-02,1.36000e+00,
-2.2999998e-02,1.44000e+00,
-2.2899998e-02,8.80000e-01,
-2.2799999e-02,8.80000e-01,
-2.2699999e-02,9.60000e-01,
-2.2599999e-02,9.60000e-01,
-2.2499999e-02,8.80000e-01,
-2.2399999e-02,9.60000e-01,
-2.2299999e-02,1.04000e+00,
-2.2200000e-02,9.60000e-01,
-2.2100000e-02,6.40000e-01,
-2.1999998e-02,6.40000e-01,
-2.1899998e-02,5.60000e-01,
-2.1799998e-02,6.40000e-01,
-2.1699999e-02,5.60000e-01,
-2.1599999e-02,5.60000e-01,
-2.1499999e-02,6.40000e-01,
-2.1399999e-02,6.40000e-01,
-2.1299999e-02,6.40000e-01,
-2.1199999e-02,6.40000e-01,
-2.1100000e-02,3.20000e-01,
-2.1000000e-02,3.20000e-01,
-2.0899998e-02,4.00000e-01,
-2.0799998e-02,3.20000e-01,
-2.0699998e-02,4.00000e-01,
-2.0599999e-02,3.20000e-01,
-2.0499999e-02,4.00000e-01,
-2.0399999e-02,4.00000e-01,
-2.0299999e-02,1.60000e-01,
-2.0199999e-02,2.40000e-01,
-2.0099999e-02,1.60000e-01,
-2.0000000e-02,1.60000e-01,
-1.9900000e-02,3.20000e-01,
-1.9800000e-02,3.20000e-01,
-1.9699998e-02,1.60000e-01,
-1.9599998e-02,2.40000e-01,
-1.9499999e-02,3.20000e-01,
-1.9399999e-02,1.60000e-01,
-1.9299999e-02,3.20000e-01,
-1.9199999e-02,2.40000e-01,
-1.9099999e-02,1.60000e-01,
-1.8999999e-02,1.60000e-01,
-1.8900000e-02,1.60000e-01,
-1.8800000e-02,1.60000e-01,
-1.8700000e-02,3.20000e-01,
-1.8600000e-02,1.60000e-01,
-1.8499998e-02,5.60000e-01,
-1.8399999e-02,3.20000e-01,
-1.8299999e-02,4.00000e-01,
-1.8199999e-02,3.20000e-01,
-1.8099999e-02,4.80000e-01,
-1.7999999e-02,3.20000e-01,
-1.7899999e-02,4.80000e-01,
-1.7800000e-02,3.20000e-01,
-1.7700000e-02,6.40000e-01,
-1.7600000e-02,6.40000e-01,
-1.7500000e-02,6.40000e-01,
-1.7399998e-02,6.40000e-01,
-1.7299999e-02,6.40000e-01,
-1.7199999e-02,6.40000e-01,
-1.7099999e-02,4.80000e-01,
-1.6999999e-02,6.40000e-01,
-1.6899999e-02,5.60000e-01,
-1.6799999e-02,6.40000e-01,
-1.6700000e-02,9.60000e-01,
-1.6600000e-02,9.60000e-01,
-1.6500000e-02,1.04000e+00,
-1.6400000e-02,9.60000e-01,
-1.6300000e-02,1.04000e+00,
-1.6199999e-02,9.60000e-01,
-1.6099999e-02,1.04000e+00,
-1.5999999e-02,9.60000e-01,
-1.5899999e-02,1.52000e+00,
-1.5799999e-02,1.44000e+00,
-1.5699999e-02,1.52000e+00,
-1.5600000e-02,1.68000e+00,
-1.5499999e-02,1.44000e+00,
-1.5399999e-02,1.44000e+00,
-1.5299999e-02,1.52000e+00,
-1.5199999e-02,1.44000e+00,
-1.5099999e-02,1.52000e+00,
-1.5000000e-02,1.44000e+00,
-1.4899999e-02,2.00000e+00,
-1.4799999e-02,2.00000e+00,
-1.4699999e-02,1.92000e+00,
