X,CH1,
Second,Volt,
6.3000001e-02,1.04000e+00,
6.4000003e-02,1.04000e+00,
6.5000005e-02,1.24000e+00,
6.6000000e-02,1.20000e+00,
6.7000002e-02,1.40000e+00,
6.8000004e-02,1.40000e+00,
6.9000006e-02,1.56000e+00,
7.0000000e-02,1.56000e+00,
7.1000002e-02,1.68000e+00,
7.2000004e-02,1.64000e+00,
7.3000006e-02,1.44000e+00,
7.4000001e-02,1.48000e+00,
7.5000003e-02,1.28000e+00,
7.6000005e-02,1.28000e+00,
7.7000000e-02,1.12000e+00,
7.8000002e-02,1.16000e+00,
7.9000004e-02,9.60000e-01,
8.0000006e-02,9.60000e-01,
8.1000000e-02,7.60000e-01,
8.2000002e-02,8.00000e-01,
8.3000004e-02,6.00000e-01,
8.4000006e-02,6.40000e-01,
8.5000001e-02,4.80000e-01,
8.6000003e-02,4.80000e-01,
8.7000005e-02,3.20000e-01,
8.8000007e-02,3.60000e-01,
8.9000002e-02,1.20000e-01,
9.0000004e-02,1.60000e-01,
9.1000006e-02,4.00000e-02,
9.2000008e-02,8.00000e-02,
9.3000002e-02,2.80000e-01,
9.4000004e-02,2.80000e-01,
9.5000006e-02,4.40000e-01,
9.6000001e-02,4.40000e-01,
9.7000003e-02,5.60000e-01,
9.8000005e-02,5.60000e-01,
9.9000007e-02,7.60000e-01,
1.0000000e-01,7.20000e-01,
1.0100000e-01,9.60000e-01,
1.0200001e-01,9.20000e-01,
1.0300001e-01,1.08000e+00,
1.0400000e-01,1.08000e+00,
1.0500000e-01,1.28000e+00,
1.0600001e-01,1.28000e+00,
1.0700001e-01,1.44000e+00,
1.0800000e-01,1.40000e+00,
1.0900000e-01,1.60000e+00,
1.1000001e-01,1.60000e+00,
1.1100000e-01,1.68000e+00,
1.1200000e-01,1.60000e+00,
1.1300001e-01,1.44000e+00,
1.1400001e-01,1.44000e+00,
1.1500000e-01,1.24000e+00,
1.1600000e-01,1.28000e+00,
1.1700001e-01,1.08000e+00,
1.1800001e-01,1.12000e+00,
1.1900000e-01,9.20000e-01,
1.2000000e-01,9.60000e-01,
1.2100000e-01,7.60000e-01,
1.2200000e-01,7.60000e-01,
1.2300000e-01,5.60000e-01,
1.2400001e-01,6.00000e-01,
1.2500001e-01,4.40000e-01,
1.2600002e-01,4.40000e-01,
1.2700002e-01,2.80000e-01,
1.2800001e-01,2.80000e-01,
1.2900001e-01,1.20000e-01,
1.3000001e-01,0.00000e+00,
1.3100001e-01,1.60000e-01,
1.3200001e-01,1.60000e-01,
1.3300002e-01,3.60000e-01,
1.3400002e-01,3.20000e-01,
1.3500002e-01,4.80000e-01,
1.3600001e-01,4.80000e-01,
1.3700001e-01,6.00000e-01,
1.3800001e-01,6.00000e-01,
1.3900001e-01,7.60000e-01,
1.4000002e-01,7.60000e-01,
1.4100002e-01,9.60000e-01,
1.4200002e-01,9.60000e-01,
1.4300001e-01,1.12000e+00,
1.4400001e-01,1.12000e+00,
1.4500001e-01,1.28000e+00,
1.4600001e-01,1.28000e+00,
1.4700001e-01,1.48000e+00,
1.4800002e-01,1.44000e+00,
1.4900002e-01,1.64000e+00,
1.5000002e-01,1.68000e+00,
1.5100001e-01,1.56000e+00,
1.5200001e-01,1.60000e+00,
1.5300001e-01,1.36000e+00,
1.5400001e-01,1.40000e+00,
1.5500002e-01,1.20000e+00,
1.5600002e-01,1.20000e+00,
1.5700002e-01,1.04000e+00,
1.5800001e-01,1.08000e+00,
1.5900001e-01,8.80000e-01,
1.6000001e-01,8.80000e-01,
1.6100001e-01,7.20000e-01,
1.6200002e-01,7.20000e-01,
1.6300002e-01,5.60000e-01,
1.6400002e-01,5.60000e-01,
1.6500002e-01,4.40000e-01,
1.6600001e-01,4.40000e-01,
1.6700001e-01,2.80000e-01,
1.6800001e-01,2.80000e-01,
1.6900001e-01,8.00000e-02,
1.7000002e-01,4.00000e-02,
1.7100002e-01,2.00000e-01,
1.7200002e-01,2.00000e-01,
1.7300001e-01,3.60000e-01,
1.7400001e-01,3.20000e-01,
1.7500001e-01,5.20000e-01,
1.7600001e-01,5.20000e-01,
1.7700002e-01,6.40000e-01,
1.7800002e-01,6.40000e-01,
1.7900002e-01,8.00000e-01,
1.8000002e-01,8.00000e-01,
1.8100001e-01,1.00000e+00,
1.8200001e-01,9.60000e-01,
1.8300001e-01,1.16000e+00,
1.8400002e-01,1.20000e+00,
1.8500002e-01,1.32000e+00,
1.8600002e-01,1.32000e+00,
1.8700002e-01,1.52000e+00,
1.8800002e-01,1.48000e+00,
1.8900001e-01,1.68000e+00,
1.9000001e-01,1.68000e+00,
1.9100001e-01,1.52000e+00,
1.9200002e-01,1.52000e+00,
1.9300002e-01,1.36000e+00,
1.9400002e-01,1.36000e+00,
1.9500002e-01,1.20000e+00,
1.9600001e-01,1.20000e+00,
1.9700001e-01,1.04000e+00,
1.9800001e-01,1.04000e+00,
1.9900002e-01,8.40000e-01,
2.0000002e-01,8.80000e-01,
2.0100002e-01,6.40000e-01,
2.0200002e-01,7.20000e-01,
2.0300002e-01,5.20000e-01,
2.0400001e-01,5.60000e-01,
2.0500001e-01,4.00000e-01,
2.0600002e-01,4.00000e-01,
2.0700002e-01,2.00000e-01,
2.0800002e-01,2.00000e-01,
2.0900002e-01,4.00000e-02,
2.1000002e-01,4.00000e-02,
2.1100001e-01,2.00000e-01,
2.1200001e-01,2.00000e-01,
2.1300001e-01,4.40000e-01,
2.1400002e-01,3.60000e-01,
2.1500002e-01,5.60000e-01,
2.1600002e-01,5.60000e-01,
2.1700002e-01,7.20000e-01,
2.1800002e-01,6.80000e-01,
2.1900001e-01,8.80000e-01,
2.2000001e-01,8.40000e-01,
2.2100002e-01,1.04000e+00,
2.2200002e-01,1.04000e+00,
2.2300002e-01,1.20000e+00,
2.2400002e-01,1.20000e+00,
2.2500002e-01,1.36000e+00,
2.2600001e-01,1.36000e+00,
2.2700001e-01,1.52000e+00,
2.2800002e-01,1.52000e+00,
2.2900002e-01,1.68000e+00,
2.3000002e-01,1.68000e+00,
2.3100002e-01,1.48000e+00,
2.3200002e-01,1.52000e+00,
2.3300003e-01,1.32000e+00,
2.3400001e-01,1.36000e+00,
2.3500001e-01,1.16000e+00,
2.3600002e-01,1.20000e+00,
2.3700002e-01,1.00000e+00,
2.3800002e-01,1.00000e+00,
2.3900002e-01,8.00000e-01,
2.4000002e-01,8.00000e-01,
2.4100001e-01,6.40000e-01,
2.4200001e-01,6.40000e-01,
2.4300002e-01,5.20000e-01,
2.4400002e-01,5.20000e-01,
2.4500002e-01,3.60000e-01,
2.4600001e-01,3.60000e-01,
2.4700002e-01,1.60000e-01,
2.4800001e-01,2.00000e-01,
2.4900003e-01,4.00000e-02,
2.5000000e-01,4.00000e-02,
2.5100002e-01,2.80000e-01,
2.5200000e-01,2.40000e-01,
2.5299999e-01,4.40000e-01,
2.5400001e-01,4.00000e-01,
2.5500000e-01,5.60000e-01,
2.5600001e-01,5.60000e-01,
2.5700000e-01,7.20000e-01,
